id|hascreator_person|islocatedin_country|replyof_post|replyof_comment
755914246290|8796093022249|0|755914246285|
1030792153236|2199023255573|54|1030792153235|
1030792153237|24189255811081|4|1030792153235|
1030792153238|24189255811081|4|1030792153235|
1030792153239|8796093022244|0|1030792153235|
1030792153240|2199023255557|65|1030792153235|
1030792153241|2199023255557|65||1030792153238
1168231106715|2199023255557|65|1168231106714|
1168231106716|32985348833329|0|1168231106714|
1168231106717|32985348833329|0||1168231106715
1168231106718|24189255811081|4|1168231106714|
1168231106719|24189255811081|4|1168231106714|
1168231106720|2199023255557|65||1168231106719
1030792153250|32985348833329|0|687194769569|
1030792153251|2199023255573|54||1030792153250
1030792153252|2199023255573|54||1030792153251
1030792153253|8796093022244|0||1030792153250
1030792153254|32985348833329|0||1030792153251
1030792153255|24189255811081|4||1030792153252
687194769576|8796093022249|0|687194769569|
1030792153257|2199023255573|54||1030792153252
1030792153258|2199023255573|54||1030792153251
1030792153259|32985348833329|0||1030792153251
1030792153260|32985348833329|0||1030792153250
1030792153261|8796093022244|0||1030792153251
1030792153262|2199023255557|65||1030792153261
1168231106736|26388279066658|61|1168231106735|
1168231106737|28587302322204|101|1168231106735|
1168231106738|30786325577740|71||1168231106737
1168231106739|17592186044443|92|1168231106735|
1168231106740|21990232555526|1|1168231106735|
1168231106741|10995116277808|54||1168231106737
1168231106742|2199023255573|54|1168231106735|
1168231106743|19791209299987|110||1168231106742
1168231106744|2199023255557|65||1168231106742
1168231106745|13194139533352|49||1168231106741
1168231106746|16|92||1168231106745
1168231106747|32985348833318|53||1168231106741
1168231106748|8796093022234|0|1168231106735|
1168231106749|26388279066655|50|1168231106735|
1168231106750|10995116277783|57||1168231106749
1168231106751|32|53||1168231106749
1168231106752|6597069766702|53||1168231106737
1168231106753|13194139533355|0||1168231106742
1168231106755|8796093022234|0|1168231106754|
1168231106756|35184372088834|51|1168231106754|
1168231106757|28587302322180|48|1168231106754|
1168231106758|2199023255594|60||1168231106757
1168231106759|6597069766702|53|1168231106754|
1168231106760|14|80|1168231106754|
1168231106761|37383395344409|81||1168231106757
1168231106762|10995116277808|89||1168231106761
1168231106763|26388279066632|59||1168231106762
1168231106766|8796093022237|1|1168231106765|
1168231106767|32|53|1168231106765|
1168231106768|30786325577740|71|1168231106765|
1168231106769|37383395344394|50||1168231106768
1168231106771|28587302322196|25|1168231106770|
1168231106772|35184372088850|97|1168231106770|
1168231106773|35184372088834|51||1168231106771
1168231106774|28587302322180|48||1168231106771
1168231106775|32985348833329|0||1168231106771
1168231106776|30786325577731|56|1168231106770|
1168231106777|2199023255557|65||1168231106771
1168231106778|14|80||1168231106771
1168231106779|10995116277783|57|1168231106770|
1168231106780|8796093022234|0||1168231106777
1168231106781|28587302322223|100||1168231106778
1168231106782|35184372088856|1||1168231106771
1168231106784|17592186044443|92|1168231106783|
1168231106785|21990232555526|1|1168231106783|
1168231106786|10995116277808|89|1168231106783|
1168231106787|13194139533355|0|1168231106783|
1168231106788|30786325577731|56|1168231106783|
1168231106789|10995116277761|78|1168231106783|
1168231106790|30786325577740|71||1168231106786
1168231106792|37383395344394|50|1099511630055|
1099511630057|14|80|1099511630055|
1099511630058|15393162788877|105|1099511630055|
1099511630059|28587302322209|60|1099511630055|
1099511630060|24189255811109|1|1099511630055|
1099511630061|8796093022244|0|1099511630055|
1168231106798|17592186044461|24||1099511630057
1099511630063|28587302322209|60||1099511630060
1099511630064|8796093022237|1||1099511630060
1099511630065|21990232555527|1||1099511630060
1099511630066|6597069766702|53||1099511630060
1099511630067|2199023255573|54|1099511630055|
1168231106804|35184372088834|51||1099511630060
1099511630069|21990232555526|1||1099511630060
1099511630071|19791209299987|110|1099511630070|
1099511630072|24189255811109|1||1099511630071
1168231106809|35184372088834|51||1099511630071
1099511630075|30786325577731|56|1099511630074|
1099511630076|21990232555526|1||1099511630075
1099511630077|2199023255557|65||1099511630075
1099511630078|17592186044443|92|1099511630074|
1168231106816|15393162788877|105|1168231106815|
1168231106817|26388279066668|56|1168231106815|
1168231106818|28587302322209|60||1168231106817
1168231106819|28587302322223|100||1168231106816
1168231106820|35184372088856|1||1168231106816
1168231106821|16|92||1168231106817
1168231106822|28587302322191|1|1168231106815|
1099511630088|32985348833318|53|1099511630087|
1099511630089|21990232555526|1|1099511630087|
1099511630090|13194139533355|0|1099511630087|
1099511630091|10995116277808|89||1099511630088
1099511630092|28587302322196|25|1099511630087|
1099511630093|35184372088871|56||1099511630089
1099511630094|2199023255557|65|1099511630087|
1099511630095|15393162788877|105||1099511630089
1168231106832|35184372088856|1|1099511630087|
1099511630097|19791209299987|110|1099511630087|
1099511630098|6597069766702|53||1099511630088
1099511630099|35184372088871|56|1099511630087|
1099511630100|2199023255557|65||1099511630088
1099511630101|15393162788877|105||1099511630088
1168231106839|13194139533355|0|1168231106838|
1168231106840|15393162788877|105|1168231106838|
1168231106841|2199023255573|54||1168231106840
1168231106842|10995116277808|89|1168231106838|
1168231106843|35184372088834|51|1168231106838|
1168231106844|30786325577731|56||1168231106840
1168231106845|35184372088850|97||1168231106844
1168231106846|8796093022237|1|1168231106838|
1168231106847|19791209299987|110||1168231106844
1168231106848|13194139533355|0||1168231106844
1168231106849|26388279066668|56||1168231106840
1168231106850|19791209299987|110||1168231106842
1168231106852|37383395344394|50|1168231106851|
1168231106853|26388279066655|50|1168231106851|
1168231106854|10995116277783|57||1168231106853
1168231106855|13194139533342|59|1168231106851|
1168231106856|30786325577731|56||1168231106853
1168231106857|8796093022237|1|1168231106851|
1168231106858|32|53||1168231106857
1168231106859|10995116277783|57||1168231106853
1168231106860|13194139533355|0||1168231106859
1168231106861|21990232555527|1|1168231106851|
1168231106862|16|92||1168231106857
1168231106863|2199023255594|60||1168231106859
1168231106864|2199023255594|60||1168231106855
1168231106865|35184372088871|56||1168231106855
1168231106866|2199023255557|65||1168231106864
1168231106867|28587302322180|48||1168231106864
1168231106868|6597069766702|53||1168231106866
1168231106869|14|80||1168231106864
1168231106871|30786325577731|56|1168231106870|
1168231106873|26388279066632|59|1168231106872|
1099511630139|13194139533352|49|1099511630138|
1099511630140|28587302322223|100|1099511630138|
1099511630141|32|53|1099511630138|
1168231106878|35184372088856|1|1099511630138|
1168231106879|35184372088850|97|1099511630138|
1099511630144|8796093022237|1||1099511630141
1099511630145|28587302322180|48|1099511630138|
1099511630146|16|92||1099511630141
1099511630147|2199023255573|54||1099511630141
1099511630148|28587302322196|25|1099511630138|
1168231106885|28587302322191|1||1099511630141
1168231106886|28587302322204|101|1099511630138|
893353199944|26388279066632|59|893353199943|
1030792153417|19791209299968|0|893353199943|
1168231106890|32985348833329|0|893353199943|
1168231106891|26388279066668|56|893353199943|
1030792153420|28587302322209|60|893353199943|
962072676685|10995116277783|57|893353199943|
893353199950|21990232555527|1|893353199943|
962072676687|10995116277808|91||962072676685
1099511630160|30786325577731|56||893353199950
1168231106897|32985348833329|0||962072676685
1030792153426|28587302322196|25|893353199943|
1099511630163|26388279066641|47||962072676685
1168231106902|35184372088850|97|962072676693|
962072676695|19791209299987|110|962072676693|
962072676696|16|92||962072676695
962072676697|26388279066658|61|962072676693|
962072676698|2199023255594|60||962072676697
1099511630171|13194139533355|0||962072676695
962072676700|28587302322223|100||962072676695
1168231106909|26388279066668|56|962072676693|
962072676702|10995116277783|57|962072676693|
962072676703|32|53||962072676695
1168231106912|37383395344394|50||962072676697
1168231106913|35184372088834|51|962072676693|
1168231106914|28587302322204|101||962072676697
1030792153443|13194139533352|49|962072676693|
1168231106916|17592186044461|90||962072676695
962072676709|10995116277808|89||962072676695
1168231106918|17592186044443|92||1168231106914
1030792153448|13194139533352|49|962072676711|
1030792153449|10995116277782|52|962072676711|
1099511630186|21990232555526|1|962072676711|
962072676715|16|92|962072676711|
962072676716|21990232555527|1|962072676711|
962072676717|21990232555527|1|962072676711|
962072676718|28587302322223|100|962072676711|
1099511630191|28587302322180|48|962072676711|
962072676721|26388279066632|59|962072676720|
962072676722|17592186044443|92||962072676721
1099511630195|13194139533355|0|962072676720|
1168231106932|26388279066668|56|962072676720|
1168231106933|28587302322191|1||962072676721
1168231106934|26388279066668|56||1099511630195
1099511630199|30786325577731|56||1099511630195
1099511630200|13194139533355|0||962072676721
1099511630201|32985348833318|53||962072676721
1099511630202|26388279066658|61||1099511630200
1168231106939|26388279066655|50||1099511630195
1099511630204|2199023255573|54||1099511630195
1168231106941|26388279066668|56||1099511630195
962072676734|28587302322223|100||962072676721
1099511630207|30786325577740|71||1099511630195
1099511630208|8796093022244|0||1099511630200
962072676738|28587302322223|100|962072676737|
962072676739|2199023255594|60|962072676737|
962072676740|26388279066632|59|962072676737|
962072676741|26388279066658|61|962072676737|
962072676742|14|80|962072676737|
962072676743|26388279066632|59|962072676737|
962072676744|8796093022237|1||962072676742
962072676745|24189255811109|1||962072676743
962072676746|24189255811109|1||962072676743
1168231106956|37383395344394|50|962072676747|
1168231106957|35184372088834|51|962072676747|
1168231106958|32985348833329|0||1168231106957
1168231106959|8796093022237|1||1168231106957
1168231106960|35184372088856|1|962072676747|
1168231106961|28587302322191|1||1168231106958
1168231106962|10995116277783|57||1168231106958
962072676755|10995116277783|57|962072676747|
962072676756|8796093022234|0|962072676747|
1168231106965|32985348833291|1|962072676747|
1168231106966|32985348833291|1|962072676747|
962072676759|2199023255557|80|962072676747|
1168231106968|10995116277761|78||1168231106962
1168231106969|19791209299987|110||1168231106959
1168231106970|26388279066641|86||1168231106962
1168231106971|32985348833329|0||1168231106958
962072676764|32|53||962072676759
1168231106973|10995116277761|78||1168231106958
1168231106974|32985348833318|53||1168231106959
962072676768|26388279066632|59|962072676767|
1030792153505|15393162788877|105||962072676768
1099511630243|2199023255573|54|962072676770|
962072676772|32|53|962072676770|
1099511630245|28587302322180|48|962072676770|
1099511630246|26388279066641|86|962072676770|
962072676775|14|80|962072676770|
1099511630248|28587302322180|48|962072676770|
1030792153513|15393162788877|105|962072676770|
1030792153514|28587302322196|25|962072676770|
962072676780|2199023255594|60|962072676779|
962072676781|21990232555527|1|962072676779|
1168231106990|26388279066668|56|962072676779|
1168231106991|13194139533355|0||1168231106990
1168231106992|10995116277782|52||1168231106990
962072676785|10995116277783|57|962072676779|
1168231106994|13194139533355|0||1168231106992
1168231106995|30786325577740|71||1168231106990
1168231106996|21990232555527|1||1168231106990
1168231106997|37383395344394|50||962072676780
962072676790|26388279066658|61||962072676785
962072676792|2199023255557|65|962072676791|
1168231107001|35184372088856|1|962072676791|
1099511630266|30786325577731|56|962072676791|
1168231107003|10995116277808|89||1168231107001
1168231107004|28587302322191|1|962072676791|
962072676797|6597069766702|57|962072676791|
962072676799|10995116277783|57|962072676798|
962072676800|10995116277808|89|962072676798|
1168231107009|26388279066668|56|962072676798|
962072676802|16|92|962072676798|
962072676803|26388279066632|59||962072676800
1099511630276|21990232555526|1|962072676798|
962072676805|32|53|962072676798|
1168231107014|35184372088856|1||962072676800
1030792153543|28587302322209|60||962072676800
1168231107016|17592186044461|90||962072676805
1099511630282|21990232555526|1|962072676809|
1168231107019|35184372088834|51|962072676809|
962072676812|32|53|962072676809|
962072676813|8796093022237|1|962072676809|
962072676814|6597069766702|53|962072676809|
962072676815|10995116277808|89|962072676809|
962072676816|6597069766702|110|962072676809|
1099511630289|26388279066641|86|962072676809|
962072676818|16|92||962072676813
1030792153555|28587302322196|25|962072676809|
1030792153557|10995116277782|52|962072676820|
1030792153558|10995116277761|78||1030792153557
1030792153559|2199023255594|60||1030792153557
1030792153560|10995116277782|52|962072676820|
1168231107034|35184372088850|97|1099511630297|
1099511630299|8796093022234|0|1099511630297|
1099511630300|10995116277783|57|1099511630297|
1099511630301|17592186044443|92||1099511630300
1099511630302|30786325577731|56||1099511630300
1099511630303|13194139533342|101||1099511630300
1099511630304|10995116277783|57||1099511630300
1099511630305|10995116277783|57||1099511630302
1099511630306|32985348833291|1||1099511630300
1099511630308|32985348833318|53|1099511630307|
1099511630309|13194139533342|101||1099511630308
1168231107046|35184372088850|97|1099511630307|
1099511630311|13194139533352|49||1099511630309
1099511630312|17592186044443|92||1099511630308
1099511630313|13194139533342|101|1099511630307|
824633723372|8796093022237|1|824633723371|
1099511630317|30786325577731|56|824633723371|
1168231107054|2199023255594|60|824633723371|
824633723375|13194139533352|49|824633723371|
1168231107056|2199023255594|60|824633723371|
1168231107057|24189255811109|1||1168231107056
824633723378|24189255811109|1|824633723371|
824633723379|17592186044443|92|824633723371|
1168231107060|30786325577731|56||1168231107057
1168231107061|32985348833318|53||1168231107057
1168231107062|28587302322204|40|824633723371|
1168231107063|8796093022237|1||1168231107060
1168231107064|32985348833318|53||1168231107056
1168231107065|13194139533342|101||1168231107063
1168231107066|2199023255573|54||1168231107060
1168231107067|35184372088850|97||824633723379
1168231107068|21990232555527|1||1168231107064
1168231107069|21990232555526|1||1168231107060
1168231107071|10995116277761|78|1168231107070|
1168231107072|10995116277783|57|1168231107070|
1168231107073|8796093022234|0|1168231107070|
1168231107075|28587302322204|101|893353200130|
1099511630340|32985348833291|1|893353200130|
1168231107077|28587302322204|101||1099511630340
893353200134|13194139533342|101|893353200130|
1099511630344|17592186044443|92|1099511630343|
1099511630345|32985348833318|53|1099511630343|
1099511630346|8796093022237|1|1099511630343|
1099511630347|10995116277761|78|1099511630343|
1099511630348|13194139533342|101|1099511630343|
1099511630349|10995116277761|78|1099511630343|
1168231107086|21990232555527|1||1099511630349
1099511630351|32985348833318|61|1099511630343|
1099511630352|24189255811109|1||1099511630349
1099511630353|8796093022237|1||1099511630348
1099511630354|8796093022234|0||1099511630348
1099511630355|17592186044443|92||1099511630349
1099511630356|24189255811109|1||1099511630355
1099511630357|10995116277783|57|1099511630343|
1099511630358|13194139533342|101||1099511630355
755914246680|13194139533342|101|755914246679|
755914246681|13194139533342|101|755914246679|
824633723418|13194139533352|49|755914246679|
1099511630364|30786325577731|56|1030792153627|
1168231107101|35184372088850|97|1030792153627|
1030792153630|8796093022237|1|1030792153627|
1030792153631|17592186044443|92||1030792153630
1099511630368|30786325577731|56|1030792153627|
1099511630370|10995116277783|57|1099511630369|
1099511630371|35184372088871|56|1099511630369|
1099511630372|8796093022237|1||1099511630370
1168231107109|35184372088850|97||1099511630370
1099511630374|13194139533352|49||1099511630370
1099511630375|13194139533342|101||1099511630371
1168231107113|2199023255573|54|1099511630376|
1168231107115|32985348833318|53|1168231107114|
1168231107116|26388279066668|56|1168231107114|
1168231107117|28587302322196|25||1168231107116
1168231107118|35184372088834|51|1168231107114|
1168231107119|37383395344409|110|1168231107114|
1168231107120|26388279066655|50||1168231107116
1168231107121|32985348833318|53||1168231107118
1168231107122|15393162788877|105|1168231107114|
1168231107123|37383395344409|81||1168231107122
1168231107125|37383395344394|50|1168231107124|
1168231107126|13194139533342|101|1168231107124|
1168231107127|14|80|1168231107124|
1168231107128|17592186044461|90|1168231107124|
1168231107129|14|80|1168231107124|
1168231107130|24189255811081|4||1168231107128
1168231107131|15393162788877|105||1168231107127
1168231107132|2199023255573|54|1168231107124|
1168231107133|28587302322196|25||1168231107128
1168231107134|21990232555527|1|1168231107124|
1168231107135|21990232555526|1|1168231107124|
1168231107136|10995116277782|52||1168231107128
1168231107137|8796093022237|1||1168231107128
1168231107138|8796093022234|0||1168231107127
1168231107139|10995116277783|57||1168231107138
1168231107141|28587302322180|48|1168231107140|
1168231107142|10995116277761|26|1168231107140|
1168231107143|35184372088850|97||1168231107142
1168231107144|14|80||1168231107142
1168231107145|35184372088834|51||1168231107142
1168231107146|13194139533352|49||1168231107143
1168231107147|10995116277761|78||1168231107143
1168231107148|37383395344394|50||1168231107146
1168231107149|14|80||1168231107142
1168231107150|35184372088850|97||1168231107144
1168231107151|32985348833329|0||1168231107143
1168231107152|17592186044443|92||1168231107146
1168231107153|35184372088871|56|1168231107140|
1168231107154|30786325577731|56||1168231107146
1168231107155|35184372088834|51||1168231107144
1168231107156|21990232555527|1||1168231107146
1168231107157|13194139533352|49||1168231107144
1168231107159|17592186044443|92|1168231107158|
1168231107160|10995116277783|57|1168231107158|
1168231107161|24189255811109|1||1168231107160
1168231107162|17592186044461|90||1168231107159
1168231107163|32985348833329|0|1168231107158|
1168231107164|10995116277782|52|1168231107158|
1168231107165|10995116277782|52||1168231107163
1168231107166|13194139533342|101||1168231107159
1168231107167|24189255811081|4||1168231107160
1099511630433|28587302322223|100|1099511630432|
1099511630434|14|80|1099511630432|
1099511630435|6597069766702|53|1099511630432|
1099511630436|28587302322204|101|1099511630432|
1168231107173|35184372088856|1||1099511630434
1099511630438|8796093022237|1||1099511630433
1099511630439|19791209299987|110||1099511630433
1099511630441|8796093022244|0|1099511630440|
1099511630442|16|92||1099511630441
1168231107179|28587302322191|1|1099511630440|
1099511630444|32985348833291|1|1099511630440|
1099511630445|28587302322223|100||1099511630441
1168231107182|32985348833329|0||1168231107179
1168231107183|30786325577731|56||1099511630444
1099511630448|13194139533342|101|1099511630440|
1168231107185|21990232555527|1||1099511630444
1168231107186|28587302322209|60||1168231107179
1099511630451|10995116277808|89||1099511630448
1099511630452|2199023255557|11||1099511630441
1099511630453|26388279066641|86|1099511630440|
1168231107190|37383395344394|50|1099511630440|
1099511630455|28587302322180|48||1099511630448
1168231107192|14|80||1168231107182
1168231107194|26388279066632|59|1099511630457|
1099511630459|28587302322180|48|1099511630457|
1099511630460|28587302322223|100|1099511630457|
1099511630461|26388279066658|61||1099511630459
1099511630462|16|92||1099511630459
1168231107199|21990232555527|1|1099511630457|
1099511630464|17592186044443|92||1099511630459
1168231107201|24189255811109|1||1168231107194
1168231107202|21990232555527|1|1099511630457|
1099511630467|28587302322223|100||1099511630464
1168231107204|21990232555527|19||1099511630459
1099511630469|10995116277808|79||1099511630464
1168231107206|21990232555527|1||1168231107201
1099511630471|8796093022244|0||1099511630459
1099511630472|24189255811109|1|1099511630457|
1168231107209|10995116277761|78||1168231107194
1168231107210|30786325577731|56||1168231107201
1168231107211|35184372088871|56||1168231107194
1168231107212|6597069766702|53||1168231107194
1099511630477|8796093022244|0|1099511630457|
1099511630479|26388279066641|86|1099511630478|
1099511630481|17592186044443|92|1099511630480|
1168231107218|30786325577731|56|1099511630480|
1099511630483|17592186044461|90|1099511630480|
1099511630484|10995116277761|78|1099511630480|
1099511630485|28587302322180|48|1099511630480|
1099511630486|2199023255573|54||1099511630485
1099511630487|10995116277783|57||1099511630485
1099511630489|17592186044443|92|1099511630488|
1099511630490|32|53|1099511630488|
1099511630491|32985348833318|53|1099511630488|
1099511630492|28587302322209|60|1099511630488|
1099511630493|13194139533352|49||1099511630492
1099511630495|28587302322180|48|1099511630494|
1168231107233|37383395344394|50|1099511630496|
1168231107234|28587302322191|1|1099511630496|
1168231107235|17592186044461|90||1168231107233
1168231107236|32985348833329|0|1099511630496|
1168231107237|2199023255573|54||1168231107235
1168231107238|32985348833318|53||1168231107233
1168231107239|26388279066632|59|1099511630496|
1168231107240|37383395344394|50||1168231107235
1168231107241|26388279066632|59||1168231107235
1168231107242|13194139533342|101||1168231107238
1168231107243|8796093022244|0||1168231107235
1168231107244|2199023255594|60||1168231107235
1099511630510|2199023255573|54|1099511630509|
1099511630511|8796093022244|0|1099511630509|
1099511630512|2199023255557|65|1099511630509|
1099511630513|2199023255557|65||1099511630510
1099511630514|2199023255557|65||1099511630513
1168231107251|35184372088856|1|1099511630509|
1099511630516|28587302322209|60|1099511630509|
1168231107253|15393162788877|105||1099511630513
1099511630518|32985348833291|1||1099511630514
1099511630519|16|92||1099511630510
1099511630520|24189255811109|1||1099511630516
1099511630521|32985348833291|1||1099511630519
1168231107258|26388279066668|56||1168231107251
1168231107260|30786325577740|59|1099511630523|
1099511630525|10995116277761|78|1099511630523|
1099511630526|8796093022237|1|1099511630523|
1168231107263|37383395344394|50|1099511630523|
