:START_ID(Comment)|:END_ID(Post)
1099511630089|1099511630087
1099511630090|1099511630087
1099511630092|1099511630087
1099511630094|1099511630087
1168231106832|1099511630087
1099511630097|1099511630087
1099511630099|1099511630087
1168231106839|1168231106838
1168231106840|1168231106838
1168231106842|1168231106838
1168231106843|1168231106838
1168231106846|1168231106838
1168231106852|1168231106851
1168231106853|1168231106851
1168231106855|1168231106851
1168231106857|1168231106851
1168231106861|1168231106851
1168231106871|1168231106870
1168231106873|1168231106872
1099511630139|1099511630138
1099511630140|1099511630138
1099511630141|1099511630138
1168231106878|1099511630138
1168231106879|1099511630138
1099511630145|1099511630138
1099511630148|1099511630138
1168231106886|1099511630138
893353199944|893353199943
1030792153417|893353199943
1168231106890|893353199943
1168231106891|893353199943
1030792153420|893353199943
962072676685|893353199943
893353199950|893353199943
1030792153426|893353199943
1168231106902|962072676693
962072676695|962072676693
962072676697|962072676693
1168231106909|962072676693
962072676702|962072676693
1168231106913|962072676693
1030792153443|962072676693
1030792153448|962072676711
1030792153449|962072676711
1099511630186|962072676711
962072676715|962072676711
962072676716|962072676711
962072676717|962072676711
962072676718|962072676711
1099511630191|962072676711
962072676721|962072676720
1099511630195|962072676720
1168231106932|962072676720
962072676738|962072676737
962072676739|962072676737
962072676740|962072676737
962072676741|962072676737
962072676742|962072676737
962072676743|962072676737
1168231106956|962072676747
1168231106957|962072676747
1168231106960|962072676747
962072676755|962072676747
962072676756|962072676747
1168231106965|962072676747
1168231106966|962072676747
962072676759|962072676747
962072676768|962072676767
1099511630243|962072676770
962072676772|962072676770
1099511630245|962072676770
1099511630246|962072676770
962072676775|962072676770
1099511630248|962072676770
1030792153513|962072676770
1030792153514|962072676770
962072676780|962072676779
962072676781|962072676779
1168231106990|962072676779
962072676785|962072676779
962072676792|962072676791
1168231107001|962072676791
1099511630266|962072676791
1168231107004|962072676791
962072676797|962072676791
962072676799|962072676798
962072676800|962072676798
1168231107009|962072676798
962072676802|962072676798
1099511630276|962072676798
962072676805|962072676798
1099511630282|962072676809
1168231107019|962072676809
962072676812|962072676809
962072676813|962072676809
962072676814|962072676809
962072676815|962072676809
962072676816|962072676809
1099511630289|962072676809
1030792153555|962072676809
1030792153557|962072676820
1030792153560|962072676820
1168231107034|1099511630297
1099511630299|1099511630297
1099511630300|1099511630297
1099511630308|1099511630307
1168231107046|1099511630307
1099511630313|1099511630307
824633723372|824633723371
1099511630317|824633723371
1168231107054|824633723371
824633723375|824633723371
1168231107056|824633723371
824633723378|824633723371
824633723379|824633723371
1168231107062|824633723371
1168231107071|1168231107070
1168231107072|1168231107070
1168231107073|1168231107070
1168231107075|893353200130
1099511630340|893353200130
893353200134|893353200130
1099511630344|1099511630343
1099511630345|1099511630343
1099511630346|1099511630343
1099511630347|1099511630343
1099511630348|1099511630343
1099511630349|1099511630343
1099511630351|1099511630343
1099511630357|1099511630343
755914246680|755914246679
755914246681|755914246679
824633723418|755914246679
1099511630364|1030792153627
1168231107101|1030792153627
1030792153630|1030792153627
1099511630368|1030792153627
1099511630370|1099511630369
1099511630371|1099511630369
1168231107113|1099511630376
1168231107115|1168231107114
1168231107116|1168231107114
1168231107118|1168231107114
1168231107119|1168231107114
1168231107122|1168231107114
1168231107125|1168231107124
1168231107126|1168231107124
1168231107127|1168231107124
1168231107128|1168231107124
1168231107129|1168231107124
1168231107132|1168231107124
1168231107134|1168231107124
1168231107135|1168231107124
1168231107141|1168231107140
1168231107142|1168231107140
1168231107153|1168231107140
1168231107159|1168231107158
1168231107160|1168231107158
1168231107163|1168231107158
1168231107164|1168231107158
1099511630433|1099511630432
1099511630434|1099511630432
1099511630435|1099511630432
1099511630436|1099511630432
1099511630441|1099511630440
1168231107179|1099511630440
1099511630444|1099511630440
1099511630448|1099511630440
1099511630453|1099511630440
1168231107190|1099511630440
1168231107194|1099511630457
1099511630459|1099511630457
1099511630460|1099511630457
1168231107199|1099511630457
1168231107202|1099511630457
1099511630472|1099511630457
1099511630477|1099511630457
1099511630479|1099511630478
1099511630481|1099511630480
1168231107218|1099511630480
1099511630483|1099511630480
1099511630484|1099511630480
1099511630485|1099511630480
1099511630489|1099511630488
1099511630490|1099511630488
1099511630491|1099511630488
1099511630492|1099511630488
1099511630495|1099511630494
1168231107233|1099511630496
1168231107234|1099511630496
1168231107236|1099511630496
1168231107239|1099511630496
1099511630510|1099511630509
1099511630511|1099511630509
1099511630512|1099511630509
1168231107251|1099511630509
1099511630516|1099511630509
1168231107260|1099511630523
1099511630525|1099511630523
1099511630526|1099511630523
1168231107263|1099511630523
1099511630528|1099511630523
1099511630529|1099511630523
1099511630530|1099511630523
1168231107267|1099511630523
1099511630533|1099511630532
1168231107270|1099511630532
1099511630535|1099511630532
1168231107272|1099511630532
1168231107274|1099511630537
1099511630539|1099511630537
1168231107276|1099511630537
1099511630541|1099511630537
1168231107278|1099511630537
1099511630545|1099511630544
1168231107282|1099511630544
1099511630547|1099511630544
1099511630548|1099511630544
1099511630549|1099511630544
1099511630551|1099511630550
1099511630552|1099511630550
1099511630555|1099511630550
1168231107294|1099511630550
1099511630561|1099511630550
824633724082|824633724081
1168231107766|824633724081
1168231107767|824633724081
1168231107769|1030792154296
1030792154298|1030792154296
1030792154299|1030792154296
1030792154300|1030792154296
1168231107773|1030792154296
1030792154302|1030792154296
755914247360|343597386943
618475293889|343597386943
755914247362|343597386943
755914247363|343597386943
687194770631|687194770630
824633724110|824633724109
824633724111|824633724109
824633724112|824633724109
1099511631057|824633724109
824633724114|824633724109
824633724115|824633724109
1168231107797|412316863700
824633724118|412316863700
1168231107804|893353200859
962072677603|962072677602
962072677604|962072677602
1168231107813|962072677602
962072677606|962072677602
481036340458|412316863721
962072677611|412316863721
755914247404|412316863721
618475293934|412316863721
618475293937|206158433520
1168231107826|206158433520
481036340467|206158433520
1168231107828|206158433520
755914247413|206158433520
755914247416|343597386999
962072677625|343597386999
962072677626|343597386999
549755817213|343597386999
755914247423|549755817214
549755817216|549755817214
1168231107841|549755817214
1168231107842|549755817214
824633724163|549755817214
1099511631108|549755817214
549755817222|549755817214
962072677639|549755817214
755914247434|412316863753
962072677643|412316863753
481036340493|412316863753
1099511631121|412316863753
1030792154389|1030792154388
1168231107862|1030792154388
1030792154391|1030792154388
1030792154392|1030792154388
1168231107865|1030792154388
1168231107872|549755817247
1099511631137|549755817247
1168231107875|549755817247
1168231107876|549755817247
893353200933|549755817247
962072677670|549755817247
962072677671|549755817247
755914247465|549755817247
824633724203|412316863786
755914247468|412316863786
1168231107885|412316863786
962072677678|412316863786
824633724207|412316863786
755914247472|412316863786
618475294001|412316863786
893353200946|412316863786
549755817267|412316863786
755914247476|412316863786
618475294006|549755817269
893353200951|549755817269
962072677689|549755817269
549755817276|549755817269
1099511631165|549755817269
824633724225|549755817280
618475294018|549755817280
962072677705|549755817280
549755817290|549755817280
1099511631505|893353201296
962072678034|893353201296
1099511631507|893353201296
1099511631510|893353201296
1099511631514|893353201296
687194771234|687194771233
687194771235|687194771233
687194771240|687194771239
687194771241|687194771239
687194771242|687194771239
687194771246|687194771245
687194771247|687194771245
687194771249|687194771245
687194771250|687194771245
1168231108716|824633725035
824633725039|824633725035
824633725041|824633725035
1030792155250|824633725035
1030792155251|824633725035
824633725045|824633725035
755914248312|755914248311
755914248314|755914248311
1030792155263|755914248311
1168231108736|755914248311
1030792155265|755914248311
824633725060|687194771587
824633725068|687194771587
1168231108752|755914248335
824633725073|755914248335
824633725074|755914248335
1030792155283|755914248335
824633725076|755914248335
1168231108757|755914248335
1168231108758|755914248335
824633725079|755914248335
1168231108760|755914248335
824633725081|755914248335
1168231108764|755914248347
1168231108765|755914248347
824633725086|755914248347
1168231108767|755914248347
824633725088|755914248347
1030792155297|755914248347
1168231108770|755914248347
824633725091|755914248347
1099511632433|1099511632432
1099511632434|1099511632432
1168231109171|1099511632432
1099511632436|1099511632432
1099511632437|1099511632432
1099511632438|1099511632432
1099511632440|1099511632432
1168231109179|1168231109178
1168231109180|1168231109178
1168231109181|1168231109178
1168231109182|1168231109178
1168231109183|1168231109178
1168231109185|1168231109178
1168231109191|1168231109190
1168231109192|1168231109190
1168231109198|1168231109190
1168231109211|1168231109210
1168231109213|1168231109210
1168231109214|1168231109210
1168231109215|1168231109210
1168231109228|1168231109210
1168231109230|1168231109229
1168231109231|1168231109229
1168231109232|1168231109229
1168231109233|1168231109229
1168231109234|1168231109229
1168231109239|1168231109238
1168231109240|1168231109238
1168231109241|1168231109238
1168231109243|1168231109238
1168231109244|1168231109238
1168231109245|1168231109238
1168231109249|1168231109238
1168231109252|1168231109251
1168231109253|1168231109251
1168231109254|1168231109251
1168231109255|1168231109251
1168231109256|1168231109251
1168231109257|1168231109251
1168231109261|1168231109251
1168231109265|1168231109251
1168231109267|1168231109266
1168231109268|1168231109266
1168231109269|1168231109266
1168231109270|1168231109266
1168231109271|1168231109266
1168231109272|1168231109266
1168231109275|1168231109266
1168231109276|1168231109266
1168231109527|1168231109526
1168231109529|1168231109526
1168231109546|1168231109526
1030792156175|1030792156174
1168231109648|1030792156174
1030792156177|1030792156174
1030792156178|1030792156174
1168231109651|1030792156174
1030792156180|1030792156174
1099511632917|1030792156174
1030792156186|412316865561
1030792156187|412316865561
1168231109660|412316865561
1099511632927|412316865561
1168231109664|412316865561
1168231109665|412316865561
1030792156197|824633725988
1030792156198|824633725988
1030792156199|824633725988
1099511632936|824633725988
1030792156201|824633725988
