:START_ID(Comment)|:END_ID(Comment)
1168231106850|1168231106842
1168231106854|1168231106853
1168231106856|1168231106853
1168231106858|1168231106857
1168231106859|1168231106853
1168231106860|1168231106859
1168231106862|1168231106857
1168231106863|1168231106859
1168231106864|1168231106855
1168231106865|1168231106855
1168231106866|1168231106864
1168231106867|1168231106864
1168231106868|1168231106866
1168231106869|1168231106864
1099511630144|1099511630141
1099511630146|1099511630141
1099511630147|1099511630141
1168231106885|1099511630141
962072676687|962072676685
1099511630160|893353199950
1168231106897|962072676685
1099511630163|962072676685
962072676696|962072676695
962072676698|962072676697
1099511630171|962072676695
962072676700|962072676695
962072676703|962072676695
1168231106912|962072676697
1168231106914|962072676697
1168231106916|962072676695
962072676709|962072676695
1168231106918|1168231106914
962072676722|962072676721
1168231106933|962072676721
1168231106934|1099511630195
1099511630199|1099511630195
1099511630200|962072676721
1099511630201|962072676721
1099511630202|1099511630200
1168231106939|1099511630195
1099511630204|1099511630195
1168231106941|1099511630195
962072676734|962072676721
1099511630207|1099511630195
1099511630208|1099511630200
962072676744|962072676742
962072676745|962072676743
962072676746|962072676743
1168231106958|1168231106957
1168231106959|1168231106957
1168231106961|1168231106958
1168231106962|1168231106958
1168231106968|1168231106962
1168231106969|1168231106959
1168231106970|1168231106962
1168231106971|1168231106958
962072676764|962072676759
1168231106973|1168231106958
1168231106974|1168231106959
1030792153505|962072676768
1168231106991|1168231106990
1168231106992|1168231106990
1168231106994|1168231106992
1168231106995|1168231106990
1168231106996|1168231106990
1168231106997|962072676780
962072676790|962072676785
1168231107003|1168231107001
962072676803|962072676800
1168231107014|962072676800
1030792153543|962072676800
1168231107016|962072676805
962072676818|962072676813
1030792153558|1030792153557
1030792153559|1030792153557
1099511630301|1099511630300
1099511630302|1099511630300
1099511630303|1099511630300
1099511630304|1099511630300
1099511630305|1099511630302
1099511630306|1099511630300
1099511630309|1099511630308
1099511630311|1099511630309
1099511630312|1099511630308
1168231107057|1168231107056
1168231107060|1168231107057
1168231107061|1168231107057
1168231107063|1168231107060
1168231107064|1168231107056
1168231107065|1168231107063
1168231107066|1168231107060
1168231107067|824633723379
1168231107068|1168231107064
1168231107069|1168231107060
1168231107077|1099511630340
1168231107086|1099511630349
1099511630352|1099511630349
1099511630353|1099511630348
1099511630354|1099511630348
1099511630355|1099511630349
1099511630356|1099511630355
1099511630358|1099511630355
1030792153631|1030792153630
1099511630372|1099511630370
1168231107109|1099511630370
1099511630374|1099511630370
1099511630375|1099511630371
1168231107117|1168231107116
1168231107120|1168231107116
1168231107121|1168231107118
1168231107123|1168231107122
1168231107130|1168231107128
1168231107131|1168231107127
1168231107133|1168231107128
1168231107136|1168231107128
1168231107137|1168231107128
1168231107138|1168231107127
1168231107139|1168231107138
1168231107143|1168231107142
1168231107144|1168231107142
1168231107145|1168231107142
1168231107146|1168231107143
1168231107147|1168231107143
1168231107148|1168231107146
1168231107149|1168231107142
1168231107150|1168231107144
1168231107151|1168231107143
1168231107152|1168231107146
1168231107154|1168231107146
1168231107155|1168231107144
1168231107156|1168231107146
1168231107157|1168231107144
1168231107161|1168231107160
1168231107162|1168231107159
1168231107165|1168231107163
1168231107166|1168231107159
1168231107167|1168231107160
1168231107173|1099511630434
1099511630438|1099511630433
1099511630439|1099511630433
1099511630442|1099511630441
1099511630445|1099511630441
1168231107182|1168231107179
1168231107183|1099511630444
1168231107185|1099511630444
1168231107186|1168231107179
1099511630451|1099511630448
1099511630452|1099511630441
1099511630455|1099511630448
1168231107192|1168231107182
1099511630461|1099511630459
1099511630462|1099511630459
1099511630464|1099511630459
1168231107201|1168231107194
1099511630467|1099511630464
1168231107204|1099511630459
1099511630469|1099511630464
1168231107206|1168231107201
1099511630471|1099511630459
1168231107209|1168231107194
1168231107210|1168231107201
1168231107211|1168231107194
1168231107212|1168231107194
1099511630486|1099511630485
1099511630487|1099511630485
1099511630493|1099511630492
1168231107235|1168231107233
1168231107237|1168231107235
1168231107238|1168231107233
1168231107240|1168231107235
1168231107241|1168231107235
1168231107242|1168231107238
1168231107243|1168231107235
1168231107244|1168231107235
1099511630513|1099511630510
1099511630514|1099511630513
1168231107253|1099511630513
1099511630518|1099511630514
1099511630519|1099511630510
1099511630520|1099511630516
1099511630521|1099511630519
1168231107258|1168231107251
1099511630543|1099511630541
1099511630553|1099511630552
1099511630554|1099511630553
1099511630556|1099511630552
1099511630557|1099511630552
1099511630559|1099511630553
1099511630560|1099511630553
1168231107298|1099511630553
1168231107299|1099511630553
1099511630564|1099511630553
893353200819|824633724082
962072677556|824633724082
1168231107765|824633724082
755914247364|755914247363
755914247365|755914247363
824633724104|687194770631
1168231107785|687194770631
962072677578|824633724104
824633724107|824633724104
893353200844|687194770631
824633724119|824633724118
1168231107800|1168231107797
1168231107801|1168231107797
962072677594|824633724118
1168231107805|1168231107804
1168231107806|1168231107804
1168231107807|1168231107804
1168231107808|1168231107807
1168231107809|1168231107808
1030792154343|962072677604
962072677608|962072677604
1168231107821|481036340458
962072677615|481036340458
755914247414|755914247413
962072677627|962072677625
962072677628|962072677625
1168231107845|1168231107842
1168231107848|1168231107842
755914247436|755914247434
962072677646|755914247434
1168231107855|755914247434
1168231107856|962072677646
1099511631122|1099511631121
1168231107859|1099511631121
1030792154394|1030792154391
1030792154395|1030792154394
1030792154396|1030792154391
1099511631133|1030792154394
1030792154398|1030792154391
1168231107874|1099511631137
1168231107880|1099511631137
1168231107896|893353200951
1030792154426|962072677689
893353200955|893353200951
1168231107902|1099511631165
1168231107903|962072677689
755914247491|618475294018
962072677700|755914247491
1099511631173|618475294018
1099511631174|1099511631173
962072677703|755914247491
1099511631176|1099511631173
1099511631508|1099511631507
1168231108245|1099511631505
1168231108247|1099511631507
1099511631512|1099511631510
1099511631513|1099511631507
1099511631515|1099511631507
1099511631516|1099511631507
1099511631517|1099511631513
1099511631518|1099511631505
1099511631519|1099511631517
1099511631520|1099511631507
687194771236|687194771235
687194771237|687194771236
687194771238|687194771236
687194771243|687194771240
687194771244|687194771240
687194771248|687194771247
1168231108717|1168231108716
1168231108718|1168231108716
1168231108720|1168231108716
1168231108724|1168231108716
1030792155254|1030792155250
1168231108729|755914248312
1030792155259|755914248312
1030792155260|755914248312
1168231108733|755914248312
824633725054|755914248312
824633725058|755914248312
1030792155269|824633725060
1168231108742|824633725060
1030792155271|1030792155269
1030792155272|1030792155269
1030792155273|1030792155271
1030792155274|1030792155269
1030792155275|1030792155269
1030792155277|1030792155269
1030792155278|1030792155271
1168231108762|1168231108758
1099511632439|1099511632438
1099511632441|1099511632437
1168231109184|1168231109183
1168231109186|1168231109183
1168231109187|1168231109186
1168231109188|1168231109183
1168231109189|1168231109183
1168231109193|1168231109192
1168231109194|1168231109191
1168231109195|1168231109194
1168231109196|1168231109194
1168231109197|1168231109191
1168231109199|1168231109198
1168231109200|1168231109192
1168231109201|1168231109192
1168231109202|1168231109194
1168231109203|1168231109198
1168231109204|1168231109192
1168231109205|1168231109194
1168231109206|1168231109191
1168231109207|1168231109198
1168231109208|1168231109198
1168231109209|1168231109208
1168231109212|1168231109211
1168231109216|1168231109211
1168231109217|1168231109213
1168231109218|1168231109217
1168231109219|1168231109217
1168231109220|1168231109213
1168231109221|1168231109211
1168231109222|1168231109215
1168231109223|1168231109211
1168231109224|1168231109213
1168231109225|1168231109223
1168231109226|1168231109220
1168231109227|1168231109213
1168231109235|1168231109232
1168231109236|1168231109232
1168231109237|1168231109232
1168231109242|1168231109239
1168231109246|1168231109245
1168231109247|1168231109239
1168231109248|1168231109239
1168231109250|1168231109239
1168231109258|1168231109255
1168231109259|1168231109255
1168231109260|1168231109255
1168231109262|1168231109258
1168231109263|1168231109259
1168231109264|1168231109255
1168231109273|1168231109272
1168231109274|1168231109271
1168231109277|1168231109271
1168231109278|1168231109276
1168231109279|1168231109272
1168231109280|1168231109272
1168231109281|1168231109280
1168231109282|1168231109272
1168231109283|1168231109271
1168231109528|1168231109527
1168231109530|1168231109529
1168231109531|1168231109527
1168231109532|1168231109527
1168231109533|1168231109529
1168231109534|1168231109533
1168231109535|1168231109529
1168231109536|1168231109534
1168231109537|1168231109533
1168231109538|1168231109534
1168231109539|1168231109533
1168231109540|1168231109536
1168231109541|1168231109533
1168231109542|1168231109534
1168231109543|1168231109533
1168231109544|1168231109532
1168231109545|1168231109527
1030792156182|1030792156178
1168231109655|1030792156182
1099511632920|1030792156178
1030792156189|1030792156187
1099511632926|1030792156187
1168231109666|1168231109665
1168231109667|1030792156187
1168231109674|1099511632936
